userid,type,powerusage
142,1,348.9777791
143,1,329.5946531
144,4,563.3315265
145,1,263.6586622
146,1,378.5802627
147,1,255.6329142
148,1,374.3286234
149,1,288.6743368
150,1,265.9511864
151,1,308.2257411
152,1,300.3384557
153,1,257.5228248
154,4,476.7030551
155,1,351.7637904
156,1,298.3431018
157,1,348.5630192
158,1,341.5362548
159,1,258.7531598
160,1,191.1447126
161,1,262.5468061
162,4,507.3036821
163,1,217.960963
164,1,164.0842962
165,1,378.4421971
166,1,286.4857835
167,1,309.2796115
168,1,360.185898
169,1,289.842176
170,1,217.3435469
171,1,200.0929008
172,1,341.0061288
173,1,307.9173276
174,1,320.8314717
175,1,252.8797471
176,1,364.8051048
177,1,315.3092592
178,1,236.5341289
179,1,283.0040835
180,1,281.2948288
181,1,286.1391217
182,1,414.2872868
183,4,468.2486854
184,1,371.5251386
185,1,222.2940294
186,1,323.1671238
187,1,324.8851423
188,1,350.2332128
189,1,393.8146883
190,1,357.6382337
191,1,286.0235294
192,1,245.0455594
193,1,329.1544663
194,1,239.5107805
195,1,261.0385669
196,4,478.6533801
197,1,274.2720528
198,1,207.8819935
199,1,276.7797618
200,1,339.5788204
201,1,287.7922893
202,3,9595.164951
203,4,563.2363448
204,1,298.4524951
205,1,271.1864867
206,1,363.3130687
207,1,302.8135956
208,1,285.5599001
209,1,243.0189263
210,1,231.7291257
211,1,321.5261117
212,1,260.5228274
213,1,372.7506263
214,1,321.9948917
215,1,426.991107
216,4,562.6798583
217,1,333.7154544
218,1,418.9690423
219,1,343.7069705
220,1,343.1310487
221,1,293.4208571
222,1,277.5418922
223,1,249.7887027
224,1,393.3200001
225,1,346.3474046
226,1,312.7574426
227,1,368.9361079
228,4,437.2730385
229,1,304.0723016
230,1,330.9022646
231,4,403.826334
232,1,367.2452735
233,1,322.764341
234,1,252.5237249
235,1,353.5411103
236,1,321.9382179
237,1,202.8229546
238,1,233.3058561
239,1,210.8393403
240,1,213.9624058
241,1,325.2112182
242,1,342.9390409
243,1,277.0954306
244,4,430.3002725
245,1,330.0008353
246,1,253.0239678
247,3,11302.22404
248,1,277.2609569
249,4,411.4334113
250,1,188.4383997
251,3,9221.935739
252,1,280.9483111
253,1,268.6971204
254,1,302.8581038
255,1,335.0612529
256,1,358.768901
257,1,222.5550548
258,1,270.1003044
259,1,300.3669154
260,1,226.6645174
261,1,274.0685921
262,1,279.7261346
263,1,378.7003927
264,1,254.5721158
265,1,265.9573974
266,1,225.4858483
267,1,292.1717304
268,1,270.343035
269,4,564.555205
270,1,269.5811129
271,1,397.2545723
272,4,439.9660265
273,1,296.0070018
274,1,201.7582531
275,1,431.0766237
276,1,329.0004906
277,1,262.7473793
278,4,525.1403996
279,1,229.3404926
280,1,234.7480763
281,1,342.6325154
282,3,13270.93012
283,1,379.9749705
284,1,320.8571572
285,1,333.5747376
286,1,255.8823677
287,4,446.0423
288,1,323.353457
289,1,387.4125626
290,4,462.0717487
291,4,602.0428202
292,1,334.2395574
293,1,129.9814825
294,1,288.6926681
295,1,440.3308817
296,1,340.2378768
297,1,317.4721755
298,1,241.8443296
299,1,265.7740937
300,1,338.6901027
301,4,515.2725062
302,1,235.2193832
303,1,300.2705654
304,1,265.4090686
305,1,267.7561526
306,4,533.0064812
307,1,314.2929409
308,1,375.8370876
309,1,242.6538541
310,1,260.5792878
311,1,336.5601751
312,1,391.6382191
313,1,403.5943677
314,1,293.6988829
315,1,293.2304051
316,4,538.5232142
317,1,337.8858736
318,1,237.3146926
319,3,11320.4723
320,4,501.6385647
321,1,238.9220372
322,1,345.2662194
323,1,417.0461368
324,1,316.2345773
325,1,333.3263756
326,3,12893.02139
327,4,593.2956047
328,4,509.8142358
329,1,394.7058983
330,1,210.5043518
331,1,244.1742556
332,1,366.4474431
333,1,315.0544716
334,4,512.6399431
335,1,257.350287
336,1,345.8377671
337,1,328.4621927
338,2,23781.1971
339,1,282.3479384
340,4,457.003906
341,1,236.5487213
342,1,293.5157967
343,1,324.3401754
344,1,333.8209931
345,1,204.265244
346,1,266.6657177
347,1,315.5287688
348,1,312.0824477
349,1,282.390711
350,1,305.1397826
351,1,299.4172941
352,1,332.0503531
353,1,189.5060867
354,1,429.1185407
355,1,268.9800034
356,1,258.4455007
357,1,285.4858153
358,1,291.0343854
359,1,289.3745736
360,4,468.5064479
361,1,309.1859739
362,1,287.508899
363,3,14179.71156
364,1,249.7225018
365,1,419.5816594
366,1,276.1463644
367,1,219.7250283
368,1,311.0501107
369,1,318.4621597
370,1,324.359359
371,1,339.060155
372,1,195.7967828
373,1,419.1017817
374,1,387.6920709
375,1,209.7802744
376,1,196.5374438
377,1,453.2785979
378,1,284.4272303
379,1,250.9205734
380,1,305.3184885
381,1,154.4735847
382,4,573.8238745
383,1,347.7640615
384,1,261.1592669
385,4,463.279705
386,4,615.8790368
387,1,244.5140757
388,1,340.5617876
389,3,13512.76123
390,1,337.9066813
391,1,295.0583514
392,4,478.1040441
393,1,304.1657234
394,1,347.0051325
395,1,300.7607576
396,1,285.7429049
397,1,305.2690971
398,1,342.52221
399,1,400.2776504
400,1,195.3105715
401,1,310.2742524
402,4,436.9724104
403,1,257.4342084
404,1,274.337114
405,1,374.5598941
406,1,374.2578017
407,4,461.0649332
408,4,541.7957697
409,4,611.5357518
410,1,300.1750223
411,1,213.8315237
412,1,358.4623022
413,4,470.6832634
414,4,451.5732035
415,1,346.0637948
416,4,500.4539941
417,1,304.8259204
418,1,260.8575373
419,1,342.0027569
420,1,247.3154212
421,1,233.0164387
422,1,432.3167883
423,1,243.0158011
424,1,251.5572345
425,1,440.7235065
426,1,383.1138427
427,1,283.1673753
428,1,259.062793
429,1,221.0009789
430,1,272.9601938
431,1,268.272536
432,4,437.6799513
433,1,299.137396
434,2,23321.95386
435,1,346.9419021
436,1,277.0742285
437,1,363.6284049
438,1,277.8002514
439,4,559.3790339
440,1,346.709176
441,4,549.5683651
442,1,250.4202366
443,1,216.3361134
444,4,463.0671922
445,1,360.4352894
446,1,251.7716661
447,1,349.5067612
448,1,224.1506479
449,1,336.9970399
450,1,406.1231763
451,1,292.2712469
452,1,273.851157
453,1,388.6909174
454,1,214.5308976
455,1,250.0748869
456,1,299.6396851
457,1,319.4047404
458,1,333.9146676
459,1,332.1341669
460,4,582.9412365
461,4,475.1159754
462,4,495.0581241
463,1,222.0574772
464,1,290.8008843
465,1,411.5714219
466,4,514.8952677
467,1,323.2808614
468,1,274.2813587
469,3,11449.21727
470,1,185.7090644
471,1,390.3882766
472,1,287.0074548
473,4,582.1809542
474,1,365.6668203
475,4,475.4360667
476,1,306.1909401
477,1,313.8085534
478,4,516.7418137
479,1,349.1923169
480,2,25514.00108
481,1,321.9556843
482,1,245.892712
483,1,346.4590458
484,4,451.5146465
485,1,366.1560699
486,1,252.7991265
487,1,196.1641438
488,1,376.8607888
489,1,267.8845604
490,1,296.8611599
491,4,393.2085368
492,1,312.6202777
493,4,405.2018188
494,1,282.2573956
495,1,298.8046499
496,1,222.3183534
497,1,334.7214751
498,1,271.9526089
499,1,312.9417117
500,1,354.4210978
501,1,169.562689
502,4,538.2135409
503,4,523.8987242
504,1,257.8925967
505,3,13299.27675
506,1,293.8793343
507,1,370.1377869
508,1,240.0771119
509,1,227.153408
510,1,231.8011238
511,1,287.9952866
512,4,510.7634292
513,1,339.9259994
514,1,247.5238084
515,1,414.3252703
516,1,309.2017137
517,1,223.7957659
518,1,339.2320857
519,1,262.2025976
520,1,192.531419
521,1,386.5471915
522,1,280.8932859
523,1,232.4425644
524,1,313.1067062
525,4,543.6153003
526,1,213.7927032
527,1,333.7416157
528,1,279.7936993
529,1,277.0777919
530,1,253.4182904
531,1,286.3853061
532,4,510.579843
533,1,258.3991037
534,1,115.8457773
535,4,548.1746541
536,1,324.7513958
537,1,378.4850741
538,1,347.7810464
539,3,9950.207367
540,1,280.8647824
541,2,13570.68538
542,1,241.7475565
543,1,353.8757126
544,4,487.2104613
545,1,356.445232
546,1,168.968575
547,1,227.3632483
548,1,342.9172839
549,1,242.9618337
550,1,287.5530929
551,1,224.5189927
552,1,291.8911414
553,1,123.4811844
554,1,315.0801477
555,1,322.2653275
556,1,324.9480843
557,1,317.77702
558,1,334.7424856
559,1,328.7496405
560,1,357.6789678
561,1,333.5894813
562,1,374.8331702
563,3,12127.005
564,4,465.8836877
565,1,268.6570757
566,1,289.2446862
567,1,215.5333889
568,1,360.1620799
569,1,158.142582
570,1,258.5297074
571,1,198.7321376
572,1,248.8903169
573,1,295.0628154
574,3,11568.06234
575,1,270.9811695
576,1,312.9772678
577,1,313.1521297
578,1,288.7835194
579,1,344.1732949
580,1,391.4501628
581,1,276.0749673
582,1,301.5165046
583,1,254.654473
584,1,335.1424719
585,1,250.1131412
586,1,309.0244878
587,4,471.1361262
588,4,587.4427444
589,1,286.2088048
590,1,305.7259161
591,4,514.0499072
592,1,289.1788138
593,1,211.2247602
594,1,280.3322588
595,1,328.8775944
596,1,360.8719486
597,1,407.2595098
598,1,416.7677519
599,1,340.3881694
600,4,440.1821389
601,1,272.4714606
602,1,303.1576649
603,1,224.8696125
604,4,413.4143216
605,3,14603.72448
606,1,280.8074049
607,1,233.9159564
608,1,304.6665352
609,1,269.338111
610,1,220.9950334
611,1,191.9752924
612,4,537.0499505
613,1,330.780028
614,1,304.7615504
615,4,492.7106962
616,1,436.0345681
617,1,299.1192093
618,1,324.1511279
619,1,331.5649865
620,1,397.6677358
621,1,345.8055803
622,1,214.6208545
623,1,398.0443949
624,3,13567.84855
625,1,256.8181574
626,1,302.9176014
627,1,311.4059808
628,1,371.4417261
629,4,476.2868772
630,4,541.1252319
631,1,297.4256814
632,1,200.7623893
633,4,498.2320423
634,1,421.6417273
635,1,381.9976701
636,4,482.1584503
637,4,447.8028122
638,1,274.9579807
639,1,216.0231728
640,1,279.4675733
641,1,343.9379607
642,4,509.8864618
643,1,228.0987264
644,1,247.1266051
645,1,259.8155197
646,4,580.0644215
647,1,256.0049083
648,4,524.1704839
649,4,480.6340389
650,4,516.9286083
651,1,362.6044791
652,2,18040.20141
653,1,191.4229001
654,1,392.3425475
655,1,305.7410694
656,1,268.5742803
657,1,333.2808544
658,1,374.805545
659,1,232.3071493
660,4,587.3936537
661,1,274.0188694
662,1,340.2604929
663,1,278.0134602
664,1,357.1434686
665,1,209.6678737
666,1,251.2010942
667,4,494.7352438
668,1,461.0631735
669,4,496.3765961
670,1,218.0249104
671,1,384.6725812
672,1,317.4312228
673,1,244.9920124
674,1,295.2812089
675,1,349.8286293
676,1,311.1394891
677,1,290.3913333
678,1,338.0209758
679,1,331.058021
680,1,226.5180237
681,1,290.9792957
682,4,461.9177932
683,1,420.8735966
684,2,24832.79929
685,3,14912.08621
686,1,193.3346186
687,1,415.3325834
688,1,256.890165
689,4,509.2020708
690,1,266.8928478
691,1,352.3014704
692,4,491.36606
693,1,253.9694512
694,1,322.1549673
695,1,219.1583718
696,4,483.9226599
697,1,308.2419085
698,2,26742.35848
699,1,304.9663128
700,1,331.2305728
701,1,417.5609026
702,1,387.4246103
703,4,519.7324817
704,1,292.3450077
705,1,300.488783
706,1,310.7643457
707,4,504.6395803
708,1,265.6395508
709,1,287.1147839
710,1,247.2572536
711,1,309.3812245
712,1,334.1181407
713,4,521.4416339
714,1,360.8391519
715,1,272.4257908
716,1,229.8684549
717,4,603.5712742
718,1,286.3803563
719,1,254.4334102
720,1,322.2650515
721,1,275.0602609
722,1,273.3185717
723,4,498.2910561
724,1,411.5331767
725,1,386.2016216
726,3,11370.933
727,1,422.3965604
728,1,342.4398304
729,1,204.0166402
730,1,242.6813569
731,1,319.3194907
732,1,322.824369
733,1,339.8779141
734,1,236.7064754
735,4,510.8611217
736,1,305.4414836
737,1,271.785547
738,1,415.2295299
739,1,279.0884292
740,1,358.966022
741,1,268.8028736
742,4,415.3768543
743,1,375.243482
744,1,288.6455688
745,1,329.207344
746,1,404.7403168
747,1,350.4499224
748,1,232.933073
749,1,288.9914106
750,1,295.0127408
751,4,518.5158362
752,1,233.6391053
753,1,279.0588671
754,1,282.3908325
755,1,167.2594089
756,1,332.9455561
757,1,325.3881081
758,1,281.0941264
759,1,280.4121928
760,4,495.3218559
761,1,324.5620156
762,1,250.4526602
763,1,295.5389284
764,1,197.1901811
765,1,351.8232448
766,1,355.8321674
767,3,11703.57662
768,1,320.038439
769,3,12566.92701
770,1,275.9393852
771,1,309.8118566
772,1,261.2775963
773,1,329.3222969
774,1,330.5874145
775,2,32300.477
776,1,152.6265112
777,1,253.4096562
778,1,178.3855483
779,1,328.1179268
780,1,433.5757902
781,4,469.0666018
782,4,634.0879678
783,1,225.4660357
784,1,278.07967
785,3,10794.79901
786,1,288.7963292
787,1,353.685568
788,1,293.1899693
789,1,318.6590744
790,4,465.1944335
791,3,10478.04589
792,1,419.5407054
793,1,374.1077306
794,4,457.8161358
795,1,342.0344947
796,4,440.7728244
797,4,523.5740775
798,4,494.9875655
799,1,336.445847
800,4,460.7164881
801,1,310.1144984
802,4,453.5702284
803,1,170.5791362
804,1,191.3838048
805,1,284.0019386
806,1,343.7377746
807,1,286.3460437
808,1,375.353388
809,1,356.848377
810,1,300.8040604
811,1,264.429571
812,1,173.6390965
813,1,326.9610388
814,3,12176.45118
815,4,502.6798205
816,4,515.5390107
817,1,380.3040792
818,1,393.014493
819,1,302.6621978
820,1,398.0505887
821,1,311.6169719
822,1,356.90829
823,4,462.0676537
824,1,364.1154022
825,1,250.5360535
826,4,455.3284771
827,1,318.3872613
828,1,238.5865158
829,3,14396.75155
830,1,433.2120316
831,1,405.8583293
832,1,295.9981197
833,1,395.4617281
834,1,388.1605878
835,3,12287.77222
836,4,564.0293946
837,1,368.5684398
838,2,30390.5428
839,1,233.9424526
840,1,263.5508708
841,1,195.0267065
842,1,300.0588942
843,1,387.2457681
844,1,315.6482222
845,1,324.6116741
846,1,262.4749724
847,4,484.5495041
848,1,354.933992
849,1,366.9306246
850,1,380.5807952
851,1,332.0413727
852,4,511.2122072
853,2,22537.18758
854,3,11866.7362
855,4,541.0467498
856,1,307.8852822
857,1,285.6739465
858,1,275.1443399
859,1,339.3776815
860,1,260.364254
861,1,330.6900783
862,4,533.9026251
863,1,313.4945799
864,1,230.8149479
865,4,559.3030978
866,1,407.4393642
867,1,204.5152037
868,1,349.5725782
869,1,330.5161749
870,4,483.8364709
871,4,494.2428814
872,1,372.5359137
873,1,300.1686211
874,1,221.4797461
875,1,235.9470414
876,4,503.3959622
877,1,363.1309678
878,1,246.5946343
879,1,250.0672124
880,1,247.7287339
881,1,404.2880562
882,1,321.1397851
883,1,395.415726
884,1,260.3906768
885,1,272.105158
886,4,497.5389405
887,1,382.1479625
888,1,275.6585811
889,1,241.7256579
890,1,337.5681682
891,1,259.2190354
892,1,306.4113389
893,1,267.4418965
894,1,296.3438834
895,3,11990.04586
896,1,372.876328
897,1,321.5802142
898,1,336.9373774
899,1,281.4367525
900,1,245.8322917
901,1,242.7805204
902,1,273.6116021
903,1,275.8517108
904,1,255.6660879
905,1,394.0420698
906,4,406.3831999
907,1,369.8232907
908,1,261.3720939
909,1,267.4363242
910,1,262.2324213
911,1,281.9590836
912,1,280.8324471
913,1,328.6440315
914,1,318.4710569
915,4,540.631324
916,1,269.1101392
917,1,340.3034233
918,4,544.5013738
919,1,363.0436333
920,1,326.023106
921,4,466.5303205
922,1,309.2350553
923,3,13944.24432
924,4,476.3595033
925,1,195.5008422
926,1,300.1456732
927,1,321.0360557
928,1,224.2319775
929,1,382.9347131
930,1,208.6589583
931,1,237.350492
932,1,237.8663457
933,1,414.5970233
934,4,477.2071962
935,4,478.2884559
936,3,13244.63143
937,1,352.4342428
938,1,304.4018168
939,1,315.2376147
940,1,321.1611057
941,1,359.5504818
942,1,256.7146034
943,1,261.7163823
944,1,337.7282787
945,1,308.2954121
946,4,412.2311965
947,1,192.9671859
948,1,305.1749403
949,1,270.5878621
950,1,302.0266295
951,4,600.0070211
952,1,382.481668
953,1,372.926402
954,1,397.6381405
955,1,274.4257232
956,4,482.4366
957,4,432.4415793
958,1,263.567444
959,3,16119.97769
960,4,474.9496006
961,1,246.4597294
962,1,295.6814933
963,1,208.7087498
964,1,330.1425375
965,1,284.0304899
966,1,278.4686204
967,1,268.3358184
968,1,313.2520041
969,1,320.1416545
970,1,279.1345454
971,4,479.5761939
972,1,363.9228944
973,1,254.0645079
974,1,155.2264785
975,4,484.0693584
976,1,125.920319
977,1,335.0258889
978,1,339.344489
979,1,221.2638633
980,4,544.0722165
981,1,276.4448747
982,1,311.1642983
983,1,238.6293949
984,1,303.7548466
985,1,215.2221103
986,1,240.4649694
987,4,480.4623774
988,1,321.8628764
989,1,223.556072
990,1,294.4767318
991,4,473.4998755
992,1,221.6352131
993,1,265.234066
994,1,270.8196898
995,1,184.9612655
996,1,316.1188404
997,1,358.0706545
998,1,249.8277644
999,1,312.6973602
1000,1,259.9012563
1001,1,257.8146539
1002,1,397.8466026
1003,1,381.08802
1004,2,21034.82019
1005,1,284.59352
1006,1,301.3058159
1007,1,322.5008083
1008,1,224.8353865
1009,4,541.4862554
1010,1,334.0778548
1011,1,318.6918144
1012,1,267.5981792
1013,1,197.5202577
1014,1,264.2056362
1015,4,523.8988354
1016,1,223.183566
1017,1,272.532963
1018,4,546.0467733
1019,1,384.4101744
1020,1,316.7225439
1021,1,243.5709783
1022,3,10549.7716
1023,3,10825.98006
1024,4,492.561727
1025,1,308.2414734
1026,1,276.4135648
1027,1,299.6477934
1028,1,332.2969059
1029,4,548.1345624
1030,4,514.2747712
1031,4,481.8230801
1032,1,360.6994087
1033,1,325.4380387
1034,1,321.4718217
1035,1,207.1748573
1036,1,294.5652736
1037,1,369.1022599
1038,1,340.3251504
1039,1,250.418471
1040,1,398.8633951
1041,1,268.1857739
1042,1,324.8264753
1043,1,317.7281997
1044,1,298.1271085
1045,4,565.9246789
1046,1,341.6907657
1047,1,292.3279948
1048,1,227.3533835
1049,1,377.8808246
1050,1,366.4456614
1051,1,397.6414493
1052,1,308.2508275
1053,1,215.4943532
1054,1,232.8181277
1055,1,351.9104347
1056,1,345.5595948
1057,1,393.8024954
1058,1,268.1809887
1059,1,343.4351629
1060,1,335.0206147
1061,4,452.5438844
1062,4,445.5834245
1063,4,583.7980606
1064,1,258.4926735
1065,1,338.9547203
1066,1,226.2023187
1067,1,178.4941684
1068,1,368.5533426
1069,1,257.5970367
1070,4,491.2357341
1071,1,233.3994137
1072,1,303.4778845
1073,1,239.3159817
1074,1,194.9869762
1075,1,330.4112208
1076,1,271.1788514
1077,4,460.7732061
1078,1,200.2090248
1079,4,486.2352973
1080,1,408.3819042
1081,1,243.5543938
1082,1,357.0615788
1083,1,208.196069
1084,1,270.8816571
1085,4,548.649625
1086,4,464.9621828
1087,3,9335.876367
1088,1,395.3157546
1089,1,323.582541
1090,4,553.0941004
1091,1,314.1524092
1092,1,232.5731571
1093,1,250.5924383
1094,2,26243.36214
1095,4,545.9613911
1096,1,284.7142563
1097,1,314.4734875
1098,1,323.8415145
1099,1,370.8940894
1100,1,289.0863042
1101,1,287.9129856
1102,3,13121.01882
1103,1,294.8174015
1104,1,307.7062541
1105,1,265.794456
1106,1,306.0268535
1107,4,517.3464213
1108,1,286.9651384
1109,2,19708.75368
1110,1,405.3067529
1111,1,303.9817014
1112,1,240.8150074
1113,1,324.1483421
1114,1,328.5301397
1115,1,191.8781166
1116,1,284.7660283
1117,1,362.9978824
1118,1,323.9854597
1119,4,474.9178908
1120,1,362.3266083
1121,1,500.1315036
1122,1,312.1759271
1123,1,237.2543925
1124,1,233.097881
1125,1,388.9513118
1126,4,557.3253946
1127,1,249.7143567
1128,1,228.4431582
1129,1,252.4536488
1130,1,193.3206531
1131,1,350.3192131
1132,1,246.4514655
1133,4,575.10429
1134,1,340.3268002
1135,1,334.9196703
1136,1,289.191798
1137,4,478.6530766
1138,4,518.2555479
1139,1,278.4609401
1140,1,312.4652322
1141,1,172.0660325
1142,1,343.266219
1143,4,437.9772029
1144,4,507.9521425
1145,3,14277.07587
1146,1,272.5219651
1147,1,309.6855089
1148,4,494.9194546
1149,1,343.7482913
1150,1,347.3078196
1151,1,368.9979114
1152,1,316.0463707
1153,1,354.2310156
1154,1,322.7950611
1155,1,306.012036
1156,1,324.4168729
1157,1,230.6437274
1158,1,255.8036831
1159,1,267.265783
1160,1,351.7625932
1161,4,392.2892569
1162,4,567.7530707
1163,1,258.5280425
1164,1,338.8384724
1165,1,278.4017461
1166,1,202.8443267
1167,1,295.6653086
1168,1,467.9221606
1169,1,325.2393124
1170,4,519.9741551
1171,1,404.452933
1172,1,382.5603339
1173,1,340.6833881
1174,1,364.648983
1175,1,198.4446988
1176,1,353.0279745
1177,1,267.0252992
1178,1,233.8659442
1179,1,414.7489518
1180,1,291.4709091
1181,1,215.1378991
1182,4,479.9574152
1183,3,15340.0026
1184,1,348.6726992
1185,4,432.5116592
1186,1,234.3229153
1187,4,494.6601583
1188,1,215.6727294
1189,1,311.5700037
1190,1,426.283669
1191,4,521.7203885
1192,1,204.1756243
1193,1,233.3125341
1194,1,334.4345617
1195,1,316.1321378
1196,1,302.3693854
1197,1,374.2016732
1198,1,289.5814854
1199,1,262.7651332
1200,1,343.5283113
1201,1,265.5853625
1202,4,412.3221033
1203,1,403.3348659
1204,4,557.1884526
1205,1,342.2184906
1206,1,288.5358384
1207,1,261.2380617
1208,1,336.2356423
1209,1,290.9538851
1210,1,228.1843023
1211,1,324.7970245
1212,1,245.1875972
1213,1,245.3437595
1214,1,248.6720482
1215,1,342.6807958
1216,1,382.0695017
1217,1,284.4273329
1218,4,474.8502119
1219,1,362.5610813
1220,1,311.6317983
1221,4,478.6559191
1222,1,265.4388211
1223,4,433.4220721
1224,1,399.0790613
1225,4,367.1100604
1226,4,509.9898636
1227,1,305.6786776
1228,1,327.3617889
1229,1,271.5614731
1230,4,472.6372032
1231,1,378.553347
1232,1,274.893776
1233,1,269.9872444
1234,4,459.4178889
1235,1,292.2536755
1236,1,355.0511212
1237,1,267.5544516
1238,1,300.1961013
1239,1,316.3620142
1240,1,317.3838691
1241,4,452.6281173
1242,1,279.5482673
1243,1,302.1511051
1244,1,170.6115863
1245,1,307.1165885
1246,1,396.8043361
1247,1,299.4383505
1248,1,319.4255485
1249,1,360.5282495
1250,4,490.3085712
1251,1,219.3042253
1252,4,464.2114518
1253,3,10220.19516
1254,4,494.8438515
1255,1,281.3578696
1256,1,326.8734364
1257,3,9650.884189
1258,4,558.9370004
1259,4,548.0979477
1260,4,437.2503178
1261,4,545.9215654
1262,1,262.9726446
1263,1,286.0491306
1264,1,263.5353985
1265,4,528.0110977
1266,1,431.5941243
1267,1,263.1067433
1268,1,476.4239072
1269,1,298.0428293
1270,1,379.5247147
1271,4,504.6639704
1272,4,581.4668516
1273,1,295.046804
1274,1,187.4391741
1275,1,341.7062238
1276,1,313.9397775
1277,3,12032.4924
1278,4,421.9452389
1279,1,203.0488958
1280,1,331.1109316
1281,1,369.8541283
1282,4,519.5128086
1283,4,517.2360713
1284,1,282.488499
1285,4,468.7892291
1286,1,316.2126827
1287,4,434.9873039
1288,1,251.5021796
1289,4,488.3815327
1290,1,280.9496543
1291,1,304.5982969
1292,1,238.3798463
1293,1,324.4815626
1294,1,308.773036
1295,1,318.2440321
1296,1,319.9715939
1297,1,285.8288026
1298,1,331.6736886
1299,1,301.6915861
1300,1,280.1557264
1301,1,286.5062493
1302,1,335.9155364
1303,1,336.0116155
1304,1,382.1361235
1305,1,446.5335141
1306,1,277.6174131
1307,1,293.2769277
1308,1,347.2107132
1309,4,505.2131013
1310,4,557.9414369
1311,1,333.8005925
1312,1,295.504406
1313,4,555.23983
1314,1,313.1016082
1315,1,341.0980163
1316,1,335.4209325
1317,1,232.0292194
1318,1,325.8310676
1319,1,361.4563405
1320,1,345.6183514
1321,1,334.0999242
1322,1,359.6617021
1323,1,296.6880778
1324,4,509.680954
1325,4,538.2106718
1326,1,259.5566533
1327,1,352.836487
1328,4,516.3342401
1329,1,370.7164336
1330,1,358.3033977
1331,3,10869.66979
1332,1,254.825344
1333,1,331.5814891
1334,1,284.80864
1335,4,588.174242
1336,1,267.2852551
1337,1,204.440382
1338,1,317.8640942
1339,1,275.7835955
1340,1,282.9636995
1341,1,288.6138634
1342,4,586.3369129
1343,3,15501.46979
1344,1,276.6913777
1345,1,287.2907865
1346,1,257.450154
1347,4,556.05168
1348,1,206.243252
1349,1,358.247216
1350,1,370.7115528
1351,1,458.735001
1352,1,302.3872989
1353,1,380.9915783
1354,1,302.705056
1355,1,350.5008263
1356,4,496.3473696
1357,1,367.1237655
1358,1,388.0477716
1359,3,11920.51644
1360,1,288.108385
1361,1,287.4154275
1362,4,617.5668267
1363,1,202.4398849
1364,4,534.1263453
1365,1,330.5635098
1366,1,375.0122732
1367,1,236.0275319
1368,1,320.5522077
1369,1,199.92815
1370,1,184.0239191
1371,1,258.5407731
1372,1,308.0744415
